ngay;buoi;noiDung;diaDiem;thamGia;ghiChu
Thứ 2 (14/7);Sáng;07g30: Dự chào cờ;Sân Đảng ủy/P;CBCCNLĐ;
;;08g00: Dự tập huấn hướng dẫn tổ chức các hoạt động giáo dục cảm xúc xã hội cho trẻ mầm non trong thực hiện chương trình GDMN (cả ngày) ;HT 2.1 Sở GDĐT - 66-68 Lê Thánh Tôn;Đ/c Nguyễn Huy Nghị và đ/d P.VHXH cùng dự;
;Chiều;"14g00: Dự hội ý Thường trực Đảng ủy: (14g00 nghe báo cáo công tác điều chuyển tài sản công: phòng kinh tế hạ tầng báo cáo; 14g30 nghe báo cáo công tác chuẩn bị hoạt động 27.7 (đ/c Nghị phòng VHXH báo cáo.";PH.Đảng ủy/P;Đ/c Nguyễn Thu Hiền ;
;;14g00: Dự tập huấn hướng dẫn tổ chức các hoạt động giáo dục cảm xúc xã hội cho trẻ mầm non trong thực hiện chương trình GDMN ;HT 2.1 Sở GDĐT - 66-68 Lê Thánh Tôn;Đ/c Nguyễn Huy Nghị và đ/d P.VHXH cùng dự;
;;;;;
;;;;;
Thứ 3 (15/7);Sáng;08g00: Dự Hội nghị tiếp xúc cử tri trước Kỳ họp thứ Hai – HĐND phường (Kỳ họp thường lệ giữa năm 2025);Trường ĐH Quốc tế Hồng Bàng (Hội trường lầu 1, số 215 Điện Biên Phủ;"- Các ông, bà đại biểu HĐND lâm thời phường
- Các Bí thư Chi bộ.";
;;08g00: Dự tập huấn hướng dẫn tổ chức các hoạt động giáo dục cảm xúc xã hội cho trẻ mầm non trong thực hiện chương trình GDMN (cả ngày) ;HT 2.1 Sở GDĐT - 66-68 Lê Thánh Tôn;Đ/c Nguyễn Huy Nghị và đ/d P.VHXH cùng dự;
;;08g00: Dự cuộc họp về rà soát, báo cáo tiến độ chi trả và các vướng mắc còn tồn đọng trong công tác bồi thường, hỗ trợ, tái định cư của dự án Nạo vét, cải tạo môi trường, xây dựng hạ tầng rạch Xuyên Tâm (từ kênh Nhiêu Lộc – Thị Nghè đến sông Vàm Thuật) và dự án Nạo vét, xây dựng hạ tầng, cải tạo Bờ Bắc kênh Đôi;Sở Nông nghiệp và Môi trường - Số 63 Lý Tự Trọng, phường Sài Gòn, thành phố Hồ Chí Minh (phòng họp 111);P.KTHTĐT;
;;08g00: Trao đổi Phương án giải quyết nợ tiến nước của  C.Cư Miếu nổi 18 tầng ;Cty CNGĐ- 2 Nơ Trang Long;Lãnh đạo Phòng KTHTĐT;
;;10g30: Dự buổi khảo sát của đ/c Nguyễn Phước Lộc, Phó Bí thư Thành ủy, Chủ tịch MTTQVN TP tại phường Gia Định;PH.Đảng ủy/P;Đ/c Nguyễn Thu Hiền ;
;Chiều;14g00: Dự tập huấn hướng dẫn tổ chức các hoạt động giáo dục cảm xúc xã hội cho trẻ mầm non trong thực hiện chương trình GDMN ;HT 2.1 Sở GDĐT - 66-68 Lê Thánh Tôn;Đ/c Nguyễn Huy Nghị và đ/d P.VHXH cùng dự;
;;14g00: Làm việc với lãnh đạo phòng Kinh tế hạ tầng đô thị về nội dung công tác 6 tháng cuối năm 2025;Hội trường – 98 Lê Văn Duyệt;Thường trực UBND Phường ;Thảo + Điệp
;;15g30: Làm việc với lãnh đạo Trung tâm Hành chính công về nội dung công tác 6 tháng cuối năm 2025;Hội trường – 98 Lê Văn Duyệt;Thường trực UBND Phường ;Thảo + Điệp
;;;;;
Thứ 4 (16/7);Sáng;07g30: Dự tập huấn cho Hội đồng nhân dân cấp xã nhiệm kỳ 2021-2026 (cả ngày);Học viện Cán bộ TP.HCM, địa chỉ 324 Chu Văn An phường 12 quận Bình Thạnh;"Trưởng, phó ban; đại biểu HĐND lâm thời của phường; Lãnh đạo Vp và 2 chuyên viên VP UBND và HĐND";
;Chiều;13g30: Dự tập huấn cho Hội đồng nhân dân cấp xã nhiệm kỳ 2021-2026 (cả ngày);Học viện Cán bộ TP;"Trưởng, phó ban; đại biểu HĐND lâm thời của phường; Lãnh đạo Vp và 2 chuyên viên VP UBND và HĐND";
;;14g00: Dự họp trực tuyến với đồng chí Văn Thị Bạch Tuyết;PH.Đảng ủy/P;Đ/c Nguyễn Thu Hiền ;
;;;;;
Thứ 5 (17/7);Sáng;08g00: Dự Hội nghị tiếp xúc cử tri phường Bình Thạnh, Bình Quới, Bình Lợi Trung, Thạnh Mỹ Tây, Gia Định với Tổ đại biểu HĐND Thành phố (Tổ đại biểu Số 14) trước Kỳ họp thứ Hai.;Hội trường B - UBND Phường Bình Thạnh;Đ/c Nguyễn Thu Hiền ;
;;08g00: Tiếp công dân định kỳ (cả ngày);Hội trường - 98 Lê Văn Duyệt;Đ/c Vũ Minh Giang;
;;09g00: Dự chứng kiến đo đạc tại 176C Trường Sa phường Gia Định  ;176C Trường Sa  ;Đại diện P.KTHTĐT;
;;09g00: Dự Lễ công bố Quyết định thành lập các đơn vị trường học và chợ trên địa bàn phường;Đang xin ý kiến thường trực;Đ/c Nguyễn Huy Nghị;Phòng Văn hóa - Xã hội chuẩn bị
;Chiều;14g00: Tiếp công dân định kỳ;98 Lê Văn Duyệt;Đ/c Vũ Minh Giang;
